Date,Open,High,Low,Close,High_Last_22_Days,Low_Last_22_Days,Days_Since_High_Last_22_Days,Days_Since_Low_Last_22_Days,%_Diff_From_High_Last_22_Days,%_Diff_From_Low_Last_22_Days,High_Next_6_Days,%_Diff_From_High_Next_6_Days,Low_Next_6_Days,%_Diff_From_Low_Next_6_Days
2021-01-02,32530.13,33022.44,32450.0,32914.41,33099.24,28947.7,0,1,-0.5584116130762957,13.703023038099754,33333.0,-1.2557825578255677,30000.0,9.714700000000013
2021-01-02,32909.86,33333.0,32511.62,33026.28,33333.0,29050.0,0,1,-0.9201692016920204,13.687710843373491,33268.37,-0.7276881915164578,30000.0,10.087599999999997
2021-01-02,33032.97,33268.37,32714.46,33080.5,33333.0,29050.0,0,1,-0.7575075750757508,13.874354561101548,33112.26,-0.09591613499049004,30000.0,10.268333333333333
2021-01-02,33082.29,33112.26,30000.0,30682.47,33333.0,29050.0,0,1,-7.951669516695163,5.619518072289161,32911.22,-6.7720066287424165,30228.73,1.5010223717635562
2021-01-02,30674.72,31939.12,30228.73,31700.0,33333.0,29050.0,0,1,-4.899048990489905,9.122203098106713,32911.22,-3.6802646635402794,31452.94,0.785490958873801
2021-01-02,31696.74,32300.0,31452.94,32185.44,33333.0,29184.5,0,1,-3.4427144271442756,10.282650036834616,33268.37,-3.2551339305171965,31634.16,1.7426731103338886
2021-01-02,32179.06,32260.79,31634.16,32216.53,33333.0,29310.5,0,1,-3.3494434944349476,9.914638098974766,34182.0,-5.750014627581772,31977.45,0.7476518609207367
2021-01-03,32216.51,32518.88,31977.45,32485.72,33333.0,29310.5,1,2,-2.541865418654183,10.833046177990827,34182.0,-4.9624948803463775,32259.86,0.7001270309294603
2021-01-03,32450.3,32832.27,32259.86,32595.32,33333.0,29310.5,1,2,-2.2130621306213074,11.20697361013971,34800.0,-6.335287356321839,32479.91,0.3553273392691047
2021-01-03,32621.73,32911.22,32585.34,32746.89,33333.0,29443.3,1,2,-1.7583475834758364,11.220175727584884,34800.0,-5.899741379310346,32479.91,0.8219850362885843
2021-01-03,32784.01,32789.67,32479.91,32611.55,33333.0,29543.93,1,2,-2.1643716437164393,10.383249621834329,34800.0,-6.288649425287359,32479.91,0.40529668955363307
2021-01-03,32612.19,33268.37,32479.91,33213.84,33333.0,29543.93,1,2,-0.3574835748357588,12.421874814894283,34800.0,-4.557931034482769,33129.58,0.2543346459568602
2021-01-03,33204.02,34182.0,33129.58,33725.07,34182.0,29543.93,0,2,-1.3367561874670888,14.152281026931757,34800.0,-3.0888793103448284,33428.35,0.887629811223112
2021-01-03,33774.91,34116.76,33660.3,33992.16,34182.0,29543.93,0,2,-0.5553800245743271,15.056324598656994,34800.0,-2.3213793103448177,33428.35,1.6866222831818052
2021-01-03,33978.02,34800.0,33779.72,34484.5,34800.0,29543.93,0,2,-0.9066091954022989,16.722792126842975,34652.95,-0.48610580051625357,33428.35,3.159444004864139
2021-01-03,34495.37,34652.95,33761.69,34380.28,34800.0,29689.08,0,2,-1.2060919540229917,15.801095891149192,34622.67,-0.7000904320781715,33428.35,2.8476727089431586
2021-01-03,34386.79,34604.11,33831.66,34204.21,34800.0,29800.0,0,2,-1.71204022988506,14.779228187919461,34622.67,-1.2086300681027753,32793.03,4.303292498436406
2021-01-03,34207.66,34378.7,33428.35,33907.43,34800.0,30000.0,0,2,-2.5648563218390796,13.024766666666668,34622.67,-2.0658141038804865,32000.0,5.960718750000001
2021-01-03,33884.04,34466.72,33807.11,34447.28,34800.0,30000.0,0,2,-1.013563218390808,14.824266666666663,34622.67,-0.5065756049432335,32000.0,7.647749999999996
2021-01-03,34425.03,34622.67,33985.0,34144.71,34800.0,30000.0,0,2,-1.8830172413793127,13.815699999999998,34404.49,-0.7550758636445384,32000.0,6.702218749999997
2021-01-03,34121.88,34404.49,33834.0,33913.32,34800.0,30000.0,0,2,-2.5479310344827595,13.044399999999998,34192.68,-0.8170169755631925,32000.0,5.979124999999999
2021-01-03,33915.31,34192.68,33534.39,33924.68,34800.0,30000.0,0,2,-2.515287356321838,13.082266666666667,33950.0,-0.07458026509572815,32000.0,6.014625000000001
2021-01-03,33894.5,33950.0,32793.03,33557.89,34800.0,30000.0,0,2,-3.5692816091954036,11.859633333333331,33872.26,-0.9281045906001034,32000.0,4.868406249999998
2021-01-03,33549.05,33855.83,32000.0,32399.99,34800.0,30000.0,0,2,-6.89658045977011,7.999966666666672,33872.26,-4.346536074061785,32252.26,0.45804542069300946
2021-01-03,32399.99,33243.81,32327.76,32892.39,34800.0,30000.0,0,2,-5.481637931034484,9.6413,33872.26,-2.8928391551080517,32252.26,1.9847601377391881
2021-01-03,32938.22,33036.19,32252.26,32759.78,34800.0,30228.73,0,2,-5.862701149425291,8.372994829753019,33872.26,-3.2843394565346484,32450.0,0.9546379044684093
2021-01-03,32758.87,32905.1,32450.0,32775.76,34800.0,31452.94,0,2,-5.816781609195396,4.205711771300245,33872.26,-3.237162208839918,32450.97,1.0008637646270693
2021-01-03,32744.07,33850.0,32723.66,33722.25,34800.0,31634.16,0,2,-3.09698275862069,6.600744258738023,33872.26,-0.44286977013049034,32450.97,3.9175408315991747
2021-01-03,33743.84,33872.26,33548.84,33585.4,34800.0,31977.45,0,2,-3.490229885057467,5.028387191599082,33687.71,-0.30370126078619675,32450.97,3.495827705612499
2021-01-03,33576.44,33687.71,33029.84,33163.95,34800.0,32000.0,0,2,-4.701293103448284,3.637343749999991,33669.76,-1.5022679104335908,32450.97,2.197099193028732
